Query,Outputs,Correct,Comments
Iphone 15,"iPhone 15 128 GB - Black, iPhone 15 128 GB - Pink, iPhone 15 128 GB - Yellow, iPhone 15 128 GB - Blue, iPhone 15 128 GB - Green, iPhone 15 256 GB - Black, iPhone 15 256 GB - Pink, iPhone 15 256 GB - Yellow, iPhone 15 256 GB - Blue, iPhone 15 256 GB - Green",,
apple iphone 15 smartphones,"iPhone 15 128 GB - Black, iPhone 15 128 GB - Pink, iPhone 15 128 GB - Yellow, iPhone 15 128 GB - Blue, iPhone 15 128 GB - Green, iPhone 15 256 GB - Black, iPhone 15 256 GB - Pink, iPhone 15 256 GB - Yellow, iPhone 15 256 GB - Blue, iPhone 15 256 GB - Green",,
My Phone Emi History,"Nothing Phone (4a) Pro 5G 128 GB Storage Black (8 GB RAM), Samsung Galaxy A37 5G 256 GB Storage Light Violet (12 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), Redmi 15A 64 GB Storage Black (4 GB RAM), vivo Y21 5G 128 GB Storage Midnight Blue (6 GB RAM), OPPO A6c 64 GB Storage Stone Brown (4 GB RAM), realme 16T 5G 128 GB Storage Starlight Red (6 GB RAM), Xiaomi 17T 256 GB Storage Black (12 GB RAM), Motorola G37 Power 128 GB Storage Pantone Impenetrable Black (8 GB RAM), Mi A3 128 GB Storage Kind of Grey (6 GB RAM)",,
Cooler,"Symphony 70 L Desert Air Cooler white (SUMO 70), Kenstar 40 L Desert Air Cooler White (CL-9704-C), Havells 70 L Desert Air Cooler White And Grey (Freddo t), Bajaj 100 L Desert Air Cooler Grey (Bajaj XForce 100), Usha 20 L Room Personal Air Cooler Multicolor (Stellar Zx), Voltas 52 L Window Cooler Air Cooler White (WIND 52(MT MODEL)), Blue Star 35 L Desert Air Cooler Beige (DA35LMA), Godrej 60 L Desert Air Cooler Light Grey (CLEDGE CB D 80 R BFN4 LIGR), Aisen 50 L Desert Air Cooler White (A50Wmh322 (Vera Plus)), Daenyx 75 L Desert Cooler Air Cooler Multicolor (Desert 75 HC)",,
Realme Narzo 100 5g,"realme Narzo 30 Pro 5G 64 GB Storage Blade Silver (6 GB RAM), realme Narzo 30 Pro 5G 128 GB Storage Sword Black (8 GB RAM), realme Narzo 30 Pro 5G 128 GB Storage Blade Silver (8 GB RAM), realme narzo 30 5G 128 GB Storage Racing Silver (6 GB RAM), realme narzo 30 5G 128 GB Storage Racing Blue (6 GB RAM), realme Narzo 30 5G 64 GB Storage Racing Silver (4 GB RAM), realme narzo 50 Pro 5G 128 GB Storage Hyper Blue (8 GB RAM), realme narzo 50 Pro 5G 128 GB Storage Hyper Black (8 GB RAM), realme narzo 50 Pro 5G 128 GB Storage Hyper Blue (6 GB RAM), realme narzo 50 Pro 5G 128 GB Storage Hyper Black (6 GB RAM)",,
Realme Narzo 100 5g,"realme Narzo 30 Pro 5G 64 GB Storage Blade Silver (6 GB RAM), realme Narzo 30 Pro 5G 128 GB Storage Sword Black (8 GB RAM), realme Narzo 30 Pro 5G 128 GB Storage Blade Silver (8 GB RAM), realme narzo 30 5G 128 GB Storage Racing Silver (6 GB RAM), realme narzo 30 5G 128 GB Storage Racing Blue (6 GB RAM), realme Narzo 30 5G 64 GB Storage Racing Silver (4 GB RAM), realme narzo 50 Pro 5G 128 GB Storage Hyper Blue (8 GB RAM), realme narzo 50 Pro 5G 128 GB Storage Hyper Black (8 GB RAM), realme narzo 50 Pro 5G 128 GB Storage Hyper Blue (6 GB RAM), realme narzo 50 Pro 5G 128 GB Storage Hyper Black (6 GB RAM)",,
Vivo,"vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 256 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 256 GB Storage Lilac Purple (12 GB RAM), vivo X300 FE 5G 512 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 512 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 512 GB Storage Lilac Purple (12 GB RAM), vivo X300 Ultra 5G 512 GB Storage Eclipse Black (16 GB RAM), vivo X300 Ultra 5G 512 GB Storage Victory Green (16 GB RAM)",,
Inverters And Battery,"V-Guard 155 Ah Tubular Inverter Battery White (VT 170 DLX), OKAYA 210 Ah Tubular Inverter Battery White (OPTT24048) , Luminous 220 Ah Tall Tubular Inverter Battery White (REMI ILTT26066), Livguard 100 Ah Automotive Commercial Battery Black (LGPL1AAL1TR1000), Livfast Tubular Inverter Battery Orange (LFDLN1AAR1130FF), Amaze Tubular 700VA Inverter Battery White (F1147R825150 2060TT), Advon 220 Ah Tubular Inverter Battery White (IT-2250), UTL Tubular 5500VA Black (TQ 3548), Genus Tubular 1625VA Black (2000 SURJA PRO 24V), Moseta Ironman Solar Hybrid 1700 VA/150 Ah Inverter",,
Iphone 15,"iPhone 15 128 GB - Black, iPhone 15 128 GB - Pink, iPhone 15 128 GB - Yellow, iPhone 15 128 GB - Blue, iPhone 15 128 GB - Green, iPhone 15 256 GB - Black, iPhone 15 256 GB - Pink, iPhone 15 256 GB - Yellow, iPhone 15 256 GB - Blue, iPhone 15 256 GB - Green",,
Zebronics Soundbar,"Zeb Juke Bar 9500 WS Pro Dolby 5.1 Ch Soundbar (Black), Zebronics DOLBY 5.1 Channel Soundbar Bluetooth Black (ZEB-JUKE BAR 700), ZEBRONICS ZEB JukeBar 701 Digital Wireless subwoofer 200 W Bluetooth Soundbar (Black), ZEBRONICS Juke BAR 9520WS PRO Dolby 5.1 500 W Soundbar with Subwoofer & Dual Wireless Satellites (Black), Zebronics Zeb-Juke Bar 9550 Pro Dolby 5.2 625 W Bluetooth Soundbar 5.1 Channel (Black), Zebronics Zeb Juke Bar 800 300 W Bluetooth Soundbar 5.1 Channel (Black), Zebronics Zeb Juke bar 9750 Pro Dolby Atmos 525 W Bluetooth Soundbar 5.1 Channel (Black), Zebronics Zeb Juke Bar 7400 Pro 5.1 180 W Bluetooth Soundbar 5.1 Channel (Black), ZEBRONICS Juke Bar 9900 (SBSPK C3) 5.2.4 Channel Dolby Atmos Wireless Subwoofer & Satellite 725 W Bluetooth Soundbar  (Black), ZEBRONICS Juke Bar 9900 (SBSPK C3) 5.2.4 Channel Dolby Atmos Wireless Subwoofer & Satellite 725 W Bluetooth Soundbar  (Black)",,
Iphone 17,"iPhone 17 256 GB - Black, iPhone 17 256 GB - White, iPhone 17 256 GB - Mist Blue, iPhone 17 256 GB - Lavender, iPhone 17 256 GB - Sage, iPhone 17 512 GB - Black, iPhone 17 512 GB - White, iPhone 17 512 GB - Mist Blue, iPhone 17 512 GB - Lavender, iPhone 17 512 GB - Sage",,
Oneplus Smartphones,"OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Fresh Blue (8 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Pitch Black (8 GB RAM), OnePlus Nord CE6 5G 128 GB Storage Lunar Pearl (8 GB RAM), OnePlus Nord CE6 5G 128 GB Storage Fresh Blue (8 GB RAM), OnePlus Nord CE6 5G 128 GB Storage Pitch Black (8 GB RAM), OnePlus Nord 6 5G 256 GB Storage Quick Silver (12 GB RAM), OnePlus Nord 6 5G 256 GB Storage Quick Silver (8 GB RAM), OnePlus Nord 6 5G 256 GB Storage Fresh Mint (8 GB RAM), OnePlus Nord 6 5G 256 GB Storage Fresh Mint (12 GB RAM)",,
Bajaj Bike,"Joy e-Bike Nemo (Grey), Honda Shine BS6 Drum (Black) 125 cc, Yamaha R15 V4 M (Metallic Grey), Hero Super Splendor XTEC 2.0 Drum (Black Heavy Grey) 2026, Suzuki Gixxer 150 Single Channel ABS BS6 (Metallic Triton Blue), Royal Enfield Bullet 350 Standard (Bullet Silver), Yezdi Scrambler 350 OG Yellow 2026, TVS XL100 Heavy Duty i-Touch Start (Black), Jawa 42 Single Disc BS6 (All Star Black), Okinawa Ridge Plus Gps (Silver)",,
Head Phone,"JBL Club One Bluetooth Wireless Headphone (Black), Sony WH-XB910N Wireless Bluetooth Headphones (Blue), Bose Wireless Bluetooth Headphone Black (QC ULTRA), JBL Wireless Bluetooth Headphone Black (TOUR ONE M2), Sony Bluetooth, Wireless Noise Cancelling Lithium Ion Headphone Platinum Silver (WH1000XM5/BMIN 92487681), Bose Wireless Bluetooth Headphone White Smoke (QC HEADPHONE), JBL Bluetooth Wireless Headphones Black (LIVE 770NC), Sony Wireless Headphones with Active Noise Cancellation Bluetooth Headphones (Black), Bose Bluetooth Wireless Headphones Black (QC HEADPHONE BLUE DUSK), JBL Bluetooth Wireless Headphones Black (Tour One M3)",,
Ifb Ac Ci205Gn32 Rgm4,"IFB 1.5 Ton 3 Star Split AC White (Copper Condenser, IACS18AK3TC), IFB 1.5 Ton 3 Star BEE Rating Inverter Split AC White (CI1832C223G3), IFB 1 Ton 3 Star Inverter Split AC White (Copper Condenser, IACI12BD3G3C), IFB 1 Ton 3 Star Inverter Split AC White (IACI12SA3G3C), IFB 1.5 Ton 3 Star Inverter Split AC White (IACI183F3G3C), IFB 1.5 Ton 5 Star BEE Rating Inverter Split AC White (IACI183F5G3C), IFB 1.5 Ton 3 Star BEE Rating Inverter Split AC White (IACI18GB3G3C1), IFB 1.5 Ton 3 Star BEE Rating Inverter Split AC Ivory (1.5T CI1832A223G4), IFB 2 Ton 3 Star Inverter Split AC White (Copper Condenser, CI2432D323G1), IFB 1.5 Ton 5 Star Inverter Split AC White (Copper Condenser, CI1852D323G2)",,
Backup Power Inverter,"V-Guard Pure Sine Wave Inverter 9 Hrs Backup Inverter (Smart 2300), Luminous Inverter 12V 900 VA Blue (POWER SINE 1100), Okaya Pro Power Tall Tubular Inverter Battery (OPTT22060(A)), Genus 1000VA 1450 CHALLENGER 12V C Pure Sine Wave Inverter (White), Livguard LGS 6000 5KVA 48V SW 700 VA Inverter (Black), Advon Solar 5500VA ASP 5548 Solar Power Conditioning Unit (Black), Amaze 220 Ah Tall Tubular Inverter Battrey White (5266TT), Livfast Pure Sine Wave Inverter LFM-HUPS-SW-FCS1725/24V-1U (Black), Moseta Ironman Solar Hybrid 1700 VA/150 Ah Inverter, UTL Tubular 5500VA Black (TQ 3548)",,
Silai Machine,"USHA Zig Zag Stitch Sewing Machine White (MC 450E), Usha Janome Memory Craft 200E 35-Watt Sewing Machine White(Memory Craft 200e), Usha Janome Dream Maker 120 35-Watt Computerized Sewing Machine White (Dream Maker 120 with sewing kit), Usha 8801 E Direct Drive Sewing Machine Black(D.D.S.N LS W/O TRI. 8801 E INDUSTRIAL SM), Usha Janome Automatic Stitch Magic Sewing Machine, White (Stitch Magic), Usha Wonder Stitch Plus Electric Sewing Machine (Built-in Stitches 32) White (SM WONDER STITCH PLUS WITH COVER), Usha Genome Wonder Stitch Automatic Zig-Zag Electric Sewing Machine, 21.5 IN, Multicolor White (SM WONDER STITCH WITH COVER), Usha Wonder Stitch Electric Sewing Machine (Built-in Stitches 13) White (Wonder Stitch), Usha EXCELLA DLX Electric Sewing Machine Built-in Stitches 2 White Blue (SM EXCELLA DLX), Usha Allure Electric Sewing Machine Built-in Stitches 13 White (SM ALLURE)",,
Oppo Find Smartphones,"OPPO Find X9 Ultra 512 GB Storage Tundra Umber Black (12 GB RAM), OPPO Find X9 Ultra 512 GB Storage Canyon Orange (12 GB RAM), OPPO Find X9s 256 GB Storage Sunset Orange (12 GB RAM), OPPO Find X9s 256 GB Storage Midnight Grey (12 GB RAM), OPPO Find X9s 256 GB Storage Lavender Sky Blue (12 GB RAM), OPPO Find X9s 512 GB Storage Sunset Orange (12 GB RAM), OPPO Find X9s 512 GB Storage Midnight Grey (12 GB RAM), OPPO Find X9s 512 GB Storage Lavender Sky Blue (12 GB RAM), Oppo Find X9 Pro 512 GB Storage Silk White (16 GB RAM), Oppo Find X9 Pro 512 GB Storage Titanium Charcoal (16 GB RAM)",,
Google Smartphones,"Google Pixel 10a 5G 256 Storage Berry (8 GB RAM), Google Pixel 10a 5G 256 Storage Obsidian (8 GB RAM), Google Pixel 10a 5G 256 Storage Lavender (8 GB RAM), Google Pixel 10a 5G 256 Storage Fog (8 GB RAM), Google Pixel 10 Pro Fold 256 GB Storage Moonstone (16 GB RAM), Google Pixel 10 5G 256 GB Storage Frost (12 GB RAM), Google Pixel 10 5G 256 GB Storage Lemongrass (12 GB RAM), Google Pixel 10 5G 256 GB Storage Obsidian (12 GB RAM), Google Pixel 10 5G 256 GB Storage Indigo (12 GB RAM), Google Pixel 10 5G Pro 256 GB Storage Procelain (12 GB RAM)",,
I Phon 13,"iPhone 13 128 GB - Midnight, iPhone 13 128 GB - Starlight, iPhone 13 128 GB - Pink, iPhone 13 128 GB - PRODUCT RED, iPhone 13 128 GB - Blue, iPhone 13 256 GB - Midnight, iPhone 13 256 GB - Starlight, iPhone 13 256 GB - Pink, iPhone 13 256 GB - PRODUCT RED, iPhone 13 256 GB - Blue",,
iphone 13,"iPhone 13 128 GB - Midnight, iPhone 13 128 GB - Starlight, iPhone 13 128 GB - Pink, iPhone 13 128 GB - PRODUCT RED, iPhone 13 128 GB - Blue, iPhone 13 256 GB - Midnight, iPhone 13 256 GB - Starlight, iPhone 13 256 GB - Pink, iPhone 13 256 GB - PRODUCT RED, iPhone 13 256 GB - Blue",,
Mobile Loan,"Samsung Galaxy A37 5G 256 GB Storage Light Violet (12 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), Redmi 15A 64 GB Storage Black (4 GB RAM), vivo Y11 5G 128 GB Storage Midnight Blue (4 GB RAM), OPPO A6c 64 GB Storage Stone Brown (4 GB RAM), realme 16T 5G 128 GB Storage Starlight Red (6 GB RAM), Xiaomi 17T 256 GB Storage Black (12 GB RAM), Motorola G37 Power 128 GB Storage Pantone Impenetrable Black (8 GB RAM), Mi A3 128 GB Storage Kind of Grey (6 GB RAM), Infinix Smart 20 64 GB Storage Black (4 GB RAM)",,
Vivo Y51 Smartphones,"vivo Y51 Pro 5G 128 GB Storage Festive Red (8 GB RAM), vivo Y51 Pro 5G 128 GB Storage Noble Gold (8 GB RAM), vivo Y51 Pro 5G 256 GB Storage Festive Red (8 GB RAM), vivo Y51 Pro 5G 256 GB Storage Noble Gold (8 GB RAM), vivo Y51 128GB Storage Titanium Sapphire (8GB RAM), vivo Y51 128 GB Storage Crystal Symphony (8 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 256 GB Storage Noir Black (12 GB RAM)",,
Washing machine Pandra KG,"LG 6 Kg Fully Automatic Front Load Washing Machine White (FH0FANDNL02), Samsung 7 Kg Fully Automatic Top Load Washing Machine Lavender Gray (WA70BG4441BYTL), Whirlpool 8.5 Kg 5 Star Semi Automatic Top Load Washing Machine Grey Dazzle (Ace 8.5 Trb Dry), IFB 5.5 kg Drum Dryer White (TURBO DRY EX), Voltas Beko 8 kg Semi Automatic Front Load Washing Machine Grey (WWD80S 1200001), Haier 9.5 Kg Fully Automatic Top Load Washing Machine Black And White (HWM95-261NZP), Godrej 6.2 Kg Fully Automatic Top Load Washing Machine Cocoa Brown (WT EON Audra 620 PDNMP), Panasonic 6 Kg Fully Automatic Front Load Washing Machine White (NA-106MC2W01), Croma Semi-Automatic Top Load Washing Machine White Blue 8.5 kg (CRAW2222), BOSCH 10.5 kg Fully Automatic Front Load Washing Machine (WNA2E4U1IN)",,
Realme Narzo,"realme Narzo 20 Pro 128 GB Storage Black Ninja (8 GB RAM), realme Narzo 30 Pro 64 GB Storage Blade Silver (6 GB RAM), realme Narzo 30 Pro 64 GB Storage Sword Black (6 GB RAM), realme Narzo 30 Pro 5G 64 GB Storage Blade Silver (6 GB RAM), realme Narzo 30 Pro 5G 128 GB Storage Sword Black (8 GB RAM), realme Narzo 30 Pro 5G 128 GB Storage Blade Silver (8 GB RAM), realme narzo 30 64 GB Storage Racing Blue (4 GB RAM), realme narzo 30 128 GB Storage Racing Silver (6 GB RAM), realme narzo 30 128 GB Storage Racing Blue (6 GB RAM), realme narzo 30 5G 128 GB Storage Racing Silver (6 GB RAM)",,
Whirlpool Washing Machine,"Whirlpool 8.5 Kg 5 Star Semi Automatic Top Load Washing Machine Grey Dazzle (Ace 8.5 Trb Dry), Whirlpool 8 Kg 5 Star Fully Automatic Front Load Washing Machine White  (Xs8014byw52e), Whirlpool 7 Kg Fully Automatic Top Load Washing Machine Grey (WHITEMAGIC ELITE 7.0), Whirlpool 7 Kg Fully Automatic Top Load Washing Machine Wine (WHITEMAGIC ELITE 7.0), Whirlpool 6.2 Kg Fully Automatic Top Load Washing Machine Grey (STAINWASH ULTRA (N) 6.2), Whirlpool 6.2 Kg Fully Automatic Top Load Washing Machine Wine (STAINWASH ULTRA 6.2), Whirlpool 6.2 Kg Fully Automatic Top Load Washing Machine Grey (STAINWASH ULTRA 6.2), Whirlpool 6.2 Kg Fully Automatic Top Load Washing Machine Wine (STAINWASH ULTRA), Whirlpool 7.5 Kg Fully Automatic Top Load Washing Machine Graphite (360 BLOOMWASH PRO 7.5), Whirlpool 6.8 Kg Semi Automatic Top Load Washing Machine Coral Red (ACE 6.8 SUPREME PLUS (CORAL RED) (5YR))",,
Havells Geysers,"Havells 25 L Adonia R Water Heater White (GHWCARTWH025), Havells 25 L Storage Water Geyser White (GHWCAMTWH025), Havells 25 L Water Geyser White Blue (GHWAICTWB025), Havells 25 L Storage Water Geyser Ivory (GHWASESIB025), Havells 35 L Water Geyser White (GHWEMESWH035), Havells 35 L Water Geyser White (GHWAMESWH035), Havells 25 L Storage Water Geyser White (GHWBMCSWH025), Havells 10 L Storage Water Geyser Ivory and Red (GSWEAOSIR010), Havells 10 L Storage Water Geyser White and Blue (GSWEAOSWB010), Havells 25 L Storage Water Geyser White and Blue (GSWEAOSWB025)",,
Realme 16 Smartphones,"realme 16 5G 256 GB Storage Air White (12 GB RAM), realme 16 5G 128 GB Storage Air Black (8 GB RAM), realme 16 5G 256 GB Storage Air Black (8 GB RAM), realme 16 5G 256 GB Storage Air Black (12 GB RAM), realme 16 5G 128 GB Storage Air White (8 GB RAM), realme 16 5G 256 GB Storage Air White (8 GB RAM), Realme 16 Pro+ 5G 256 GB Storage Master Grey (8 GB RAM), Realme 16 Pro+ 5G 256 GB Storage Master Grey (12 GB RAM), Realme 16 Pro+ 5G 128 GB Storage Master Gold (8 GB RAM), Realme 16 Pro+ 5G 256 GB Storage Master Gold (8 GB RAM)",,
Washing machine Pandra 15kg,"LG 6 Kg Fully Automatic Front Load Washing Machine White (FH0FANDNL02), Samsung 7 Kg Fully Automatic Top Load Washing Machine Lavender Gray (WA70BG4441BYTL), Whirlpool 8.5 Kg 5 Star Semi Automatic Top Load Washing Machine Grey Dazzle (Ace 8.5 Trb Dry), IFB 5.5 kg Drum Dryer White (TURBO DRY EX), Voltas Beko 8 kg Semi Automatic Front Load Washing Machine Grey (WWD80S 1200001), Haier 9.5 Kg Fully Automatic Top Load Washing Machine Black And White (HWM95-261NZP), Godrej 6.2 Kg Fully Automatic Top Load Washing Machine Cocoa Brown (WT EON Audra 620 PDNMP), Panasonic 6 Kg Fully Automatic Front Load Washing Machine White (NA-106MC2W01), Croma Semi-Automatic Top Load Washing Machine White Blue 8.5 kg (CRAW2222), BOSCH 10.5 kg Fully Automatic Front Load Washing Machine (WNA2E4U1IN)",,
